Description,Amount,Date
Deporte,8533,2018-50-23 09:50:06
Deporte,6399,2019-50-25 09:50:06
Deporte,6943,2018-50-18 09:50:06
Musica,6948,2018-50-23 09:50:06
Comida,2668,2019-50-25 09:50:06
Musica,6705,2018-50-23 09:50:06
Comida,686,2018-50-23 09:50:06
Adornos,5958,2018-50-24 09:50:06
Comida,2879,2018-50-22 09:50:06
Deporte,7753,2018-50-24 09:50:06
Musica,9277,2018-50-25 09:50:06
Adornos,3551,2018-50-22 09:50:06
Musica,9799,2018-50-23 09:50:06
Adornos,5483,2018-50-23 09:50:06
Deporte,5409,2018-50-24 09:50:06
Comida,394,2018-50-25 09:50:06
Deporte,7787,2018-50-21 09:50:06
Comida,474,2018-50-23 09:50:06
Musica,4967,2018-50-24 09:50:06
Musica,9057,2018-50-21 09:50:06
Deporte,8266,2018-50-23 09:50:06
Deporte,8210,2018-50-25 09:50:06
Deporte,6669,2018-50-24 09:50:06
Adornos,8758,2018-50-24 09:50:06
Deporte,6163,2018-50-22 09:50:06
Musica,3853,2018-50-22 09:50:06
Musica,7100,2018-50-24 09:50:06
Musica,3972,2018-50-23 09:50:06
Musica,5456,2018-50-22 09:50:06
Deporte,8511,2018-50-25 09:50:06
Musica,5523,2018-50-22 09:50:06
Comida,6024,2018-50-23 09:50:06
Deporte,584,2018-50-24 09:50:06
Adornos,2528,2018-50-22 09:50:06
Deporte,8537,2018-50-23 09:50:06
Musica,7469,2018-50-23 09:50:06
Musica,6230,2018-50-23 09:50:06
Musica,347,2018-50-24 09:50:06
Comida,6470,2018-50-23 09:50:06
Comida,9505,2018-50-22 09:50:06
Comida,7657,2018-50-23 09:50:06
Musica,5365,2018-50-23 09:50:06
Comida,8248,2018-50-22 09:50:06
Adornos,1827,2018-50-18 09:50:06
Musica,7865,2018-50-21 09:50:06
Musica,8655,2018-50-23 09:50:06
Adornos,4458,2018-50-22 09:50:06
Comida,6951,2018-50-18 09:50:06
Musica,8138,2018-50-23 09:50:06
Deporte,9326,2018-50-22 09:50:06
Deporte,987,2018-50-21 09:50:06
Adornos,5891,2018-50-24 09:50:06
Musica,2568,2018-50-23 09:50:06
Musica,8874,2018-50-24 09:50:06
Adornos,8374,2018-50-25 09:50:06
Adornos,6747,2018-50-21 09:50:06
Musica,4070,2018-50-22 09:50:06
Adornos,7522,2018-50-24 09:50:06
Adornos,5428,2018-50-18 09:50:06
Musica,9164,2018-50-23 09:50:06
Musica,6382,2018-50-23 09:50:06
Adornos,9437,2018-50-22 09:50:06
Musica,4140,2018-50-23 09:50:06
Adornos,7176,2018-50-23 09:50:06
Musica,9937,2018-50-23 09:50:06
Adornos,4907,2018-50-23 09:50:06
Comida,493,2018-50-18 09:50:06
Adornos,5332,2018-50-25 09:50:06
Deporte,7094,2018-50-24 09:50:06
Comida,9470,2018-50-21 09:50:06
Deporte,619,2018-50-23 09:50:06
Adornos,1070,2018-50-23 09:50:06
Musica,5347,2018-50-23 09:50:06
Musica,7529,2018-50-22 09:50:06
Adornos,8355,2018-50-23 09:50:06
Comida,200,2018-50-18 09:50:06
Comida,3440,2018-50-24 09:50:06
Adornos,1803,2018-50-21 09:50:06
Comida,7007,2018-50-21 09:50:06
Adornos,5894,2018-50-23 09:50:06
Deporte,7919,2018-50-24 09:50:06
Deporte,3260,2018-50-23 09:50:06
Deporte,782,2018-50-21 09:50:06
Adornos,176,2018-50-23 09:50:06
Adornos,3446,2019-50-25 09:50:06
Deporte,5809,2018-50-21 09:50:06
Comida,757,2018-50-21 09:50:06
Adornos,2890,2018-50-24 09:50:06
Musica,1791,2018-50-25 09:50:06
Musica,3873,2018-50-18 09:50:06
Comida,961,2018-50-21 09:50:06
Comida,9741,2018-50-23 09:50:06
Deporte,756,2018-50-18 09:50:06
Comida,8109,2018-50-25 09:50:06
Deporte,6987,2018-50-22 09:50:06
Comida,8018,2018-50-22 09:50:06
Adornos,4215,2018-50-23 09:50:06
Comida,3023,2018-50-23 09:50:06
Musica,3012,2018-50-23 09:50:06
Musica,9392,2018-50-25 09:50:06
Musica,9642,2019-50-25 09:50:06
Adornos,8515,2018-50-21 09:50:06
Musica,6824,2018-50-24 09:50:06
Deporte,4853,2018-50-23 09:50:06
Musica,687,2018-50-23 09:50:06
Musica,4173,2018-50-24 09:50:06
Deporte,7091,2018-50-25 09:50:06
Deporte,6848,2018-50-22 09:50:06
Adornos,4287,2018-50-24 09:50:06
Comida,4705,2019-50-25 09:50:06
Adornos,8527,2018-50-25 09:50:06
Deporte,6725,2018-50-23 09:50:06
Musica,6316,2019-50-25 09:50:06
Deporte,7650,2018-50-23 09:50:06
Deporte,5136,2018-50-25 09:50:06
Musica,9247,2018-50-22 09:50:06
Adornos,6403,2018-50-18 09:50:06
Musica,9045,2018-50-25 09:50:06
Musica,3774,2018-50-23 09:50:06
Musica,3010,2018-50-22 09:50:06
Adornos,8668,2018-50-22 09:50:06
Adornos,6931,2019-50-25 09:50:06
Comida,2307,2018-50-24 09:50:06
Musica,4168,2018-50-22 09:50:06
Adornos,3397,2018-50-23 09:50:06
Musica,5293,2019-50-25 09:50:06
Musica,9297,2018-50-21 09:50:06
Comida,2411,2018-50-23 09:50:06
Comida,5196,2018-50-24 09:50:06
Adornos,7103,2018-50-23 09:50:06
Adornos,3223,2018-50-24 09:50:06
Musica,187,2018-50-18 09:50:06
Deporte,5522,2018-50-21 09:50:06
Deporte,2971,2018-50-24 09:50:06
Deporte,425,2018-50-21 09:50:06
Comida,2398,2018-50-22 09:50:06
Comida,4372,2018-50-25 09:50:06
Adornos,1725,2018-50-25 09:50:06
Comida,3487,2018-50-24 09:50:06
Deporte,1917,2018-50-25 09:50:06
Adornos,8375,2018-50-23 09:50:06
Deporte,3079,2018-50-23 09:50:06
Musica,1038,2018-50-23 09:50:06
Musica,3574,2018-50-22 09:50:06
Comida,667,2018-50-22 09:50:06
Musica,5214,2018-50-24 09:50:06
Comida,9679,2018-50-25 09:50:06
Musica,4906,2018-50-21 09:50:06
Adornos,5804,2018-50-21 09:50:06
Deporte,8180,2018-50-24 09:50:06
Musica,2869,2018-50-24 09:50:06
Deporte,2097,2018-50-22 09:50:06
Comida,5349,2018-50-23 09:50:06
Musica,2703,2018-50-22 09:50:06
Comida,4528,2018-50-24 09:50:06
Musica,9099,2018-50-23 09:50:06
Adornos,2766,2018-50-18 09:50:06
Comida,4394,2018-50-23 09:50:06
Adornos,3393,2018-50-23 09:50:06
Adornos,4690,2018-50-24 09:50:06
Adornos,9596,2019-50-25 09:50:06
Deporte,8571,2018-50-22 09:50:06
Deporte,4212,2018-50-23 09:50:06
Comida,2568,2018-50-23 09:50:06
Musica,9838,2018-50-23 09:50:06
Musica,3767,2018-50-23 09:50:06
Deporte,8491,2018-50-22 09:50:06
Comida,4289,2019-50-25 09:50:06
Deporte,6448,2018-50-21 09:50:06
Deporte,1521,2018-50-22 09:50:06
Comida,738,2018-50-22 09:50:06
Comida,8297,2018-50-23 09:50:06
Comida,3553,2018-50-21 09:50:06
Comida,318,2019-50-25 09:50:06
Comida,6979,2019-50-25 09:50:06
Comida,5433,2018-50-18 09:50:06
Comida,2536,2018-50-24 09:50:06
Comida,1670,2018-50-23 09:50:06
Adornos,703,2018-50-23 09:50:06
Musica,2140,2018-50-22 09:50:06
Comida,7553,2018-50-18 09:50:06
Adornos,2462,2018-50-21 09:50:06
Comida,5748,2018-50-23 09:50:06
Deporte,2792,2018-50-25 09:50:06
Deporte,2564,2018-50-21 09:50:06
Adornos,3076,2018-50-24 09:50:06
Musica,7847,2018-50-23 09:50:06
Musica,7610,2019-50-25 09:50:06
Musica,6444,2018-50-23 09:50:06
Musica,9973,2018-50-24 09:50:06
Deporte,8840,2018-50-23 09:50:06
Adornos,6881,2018-50-18 09:50:06
Deporte,1438,2018-50-23 09:50:06
Comida,2397,2018-50-22 09:50:06
Adornos,7224,2018-50-21 09:50:06
Deporte,2374,2018-50-18 09:50:06
Deporte,805,2018-50-24 09:50:06
Adornos,4135,2018-50-24 09:50:06
Comida,4466,2018-50-21 09:50:06
Comida,5509,2018-50-22 09:50:06
Comida,1665,2018-50-22 09:50:06
Comida,491,2018-50-23 09:50:06
Comida,1390,2018-50-22 09:50:06
Musica,6443,2019-50-25 09:50:06
Musica,9315,2018-50-22 09:50:06
Deporte,2403,2018-50-22 09:50:06
Adornos,6644,2018-50-22 09:50:06
Adornos,9464,2018-50-23 09:50:06
Musica,6766,2018-50-21 09:50:06
Adornos,4771,2018-50-18 09:50:06
Comida,2951,2019-50-25 09:50:06
Adornos,1789,2018-50-25 09:50:06
Musica,4642,2019-50-25 09:50:06
Comida,3641,2018-50-23 09:50:06
Musica,2599,2019-50-25 09:50:06
Deporte,6633,2018-50-24 09:50:06
Musica,3369,2018-50-22 09:50:06
Musica,3190,2018-50-18 09:50:06
Comida,9126,2019-50-25 09:50:06
Musica,8839,2018-50-23 09:50:06
Adornos,9866,2018-50-21 09:50:06
Comida,8944,2018-50-24 09:50:06
Musica,6067,2018-50-23 09:50:06
Musica,7699,2018-50-18 09:50:06
Comida,6493,2018-50-23 09:50:06
Deporte,2016,2018-50-24 09:50:06
Comida,6237,2018-50-24 09:50:06
Deporte,4209,2018-50-22 09:50:06
Musica,498,2018-50-24 09:50:06
Musica,8448,2018-50-25 09:50:06
Musica,3293,2018-50-24 09:50:06
Adornos,2679,2018-50-23 09:50:06
Deporte,7415,2018-50-23 09:50:06
Deporte,4223,2019-50-25 09:50:06
Comida,5014,2018-50-23 09:50:06
Musica,190,2018-50-24 09:50:06
Musica,2222,2018-50-18 09:50:06
Musica,5276,2018-50-22 09:50:06
Deporte,6706,2018-50-23 09:50:06
Adornos,6475,2018-50-21 09:50:06
Comida,2607,2018-50-18 09:50:06
Comida,5805,2018-50-25 09:50:06
Comida,1175,2018-50-24 09:50:06
Musica,5004,2018-50-23 09:50:06
Comida,4676,2018-50-24 09:50:06
Adornos,1694,2018-50-25 09:50:06
Comida,8018,2018-50-23 09:50:06
Adornos,7777,2019-50-25 09:50:06
Adornos,7470,2018-50-22 09:50:06
Deporte,689,2018-50-24 09:50:06
Musica,5731,2018-50-22 09:50:06
Musica,1169,2018-50-22 09:50:06
Musica,7148,2018-50-24 09:50:06
Adornos,3749,2018-50-18 09:50:06
Comida,1184,2018-50-22 09:50:06
Musica,4415,2018-50-24 09:50:06
Comida,692,2018-50-22 09:50:06
Adornos,7217,2018-50-24 09:50:06
Comida,4817,2018-50-21 09:50:06
Adornos,2579,2018-50-24 09:50:06
Adornos,9554,2018-50-21 09:50:06
Deporte,4137,2018-50-23 09:50:06
Deporte,611,2018-50-21 09:50:06
Musica,3872,2018-50-25 09:50:06
Deporte,4939,2018-50-22 09:50:06
Adornos,2899,2018-50-22 09:50:06
Musica,8352,2018-50-22 09:50:06
Deporte,5844,2018-50-21 09:50:06
Musica,2214,2018-50-23 09:50:06
Comida,4511,2019-50-25 09:50:06
Comida,2300,2018-50-22 09:50:06
Adornos,8687,2018-50-23 09:50:06
Musica,7122,2018-50-23 09:50:06
Deporte,3176,2018-50-22 09:50:06
Musica,2783,2018-50-22 09:50:06
Adornos,474,2018-50-25 09:50:06
Musica,471,2018-50-25 09:50:06
Deporte,2327,2018-50-22 09:50:06
Comida,6382,2018-50-22 09:50:06
Musica,9008,2018-50-23 09:50:06
Adornos,8114,2018-50-23 09:50:06
Adornos,7544,2018-50-24 09:50:06
Adornos,1860,2018-50-21 09:50:06
Deporte,6912,2018-50-23 09:50:06
Comida,4375,2018-50-22 09:50:06
Adornos,8398,2018-50-18 09:50:06
Adornos,4151,2018-50-23 09:50:06
Deporte,7002,2018-50-23 09:50:06
Comida,9122,2018-50-21 09:50:06
Adornos,4208,2018-50-21 09:50:06
Adornos,5739,2018-50-22 09:50:06
Comida,5008,2018-50-23 09:50:06
Comida,3759,2018-50-18 09:50:06
Deporte,5379,2018-50-24 09:50:06
Comida,3529,2018-50-22 09:50:06
Musica,1301,2018-50-22 09:50:06
Deporte,1811,2018-50-23 09:50:06
Adornos,9102,2019-50-25 09:50:06
Deporte,7933,2018-50-21 09:50:06
Comida,4128,2018-50-24 09:50:06
Deporte,2990,2018-50-22 09:50:06
Deporte,7435,2018-50-22 09:50:06
Comida,1002,2018-50-25 09:50:06
Comida,754,2018-50-24 09:50:06
Musica,2057,2018-50-21 09:50:06
Musica,8663,2018-50-21 09:50:06
Comida,3947,2018-50-23 09:50:06
Musica,3632,2018-50-25 09:50:06
Comida,2531,2018-50-18 09:50:06
Deporte,7556,2018-50-23 09:50:06
Comida,8618,2019-50-25 09:50:06
Adornos,608,2018-50-23 09:50:06
Comida,1365,2019-50-25 09:50:06
Musica,4950,2018-50-24 09:50:06
Adornos,7450,2018-50-24 09:50:06
Deporte,844,2018-50-21 09:50:06
Adornos,5671,2018-50-23 09:50:06
Deporte,7392,2018-50-21 09:50:06
Comida,9438,2018-50-23 09:50:06
Comida,5251,2018-50-24 09:50:06
Deporte,9483,2018-50-23 09:50:06
